paper_uid,virtual_poster_id,title,eccv_first_author_name,eccv_first_author_affiliation_raw,primary_affiliation_category,candidate_identity_key,identity_resolution_status,identity_profile_url,identity_evidence_summary,top_tier_venue_scope,prior_work_cutoff,prior_work_eligibility_rule,minimum_confirmed_prior_eligible_top_tier_first_author_count,previous_eligible_top_tier_first_author_count,previous_explicit_cofirst_author_count,is_first_eligible_top_tier_first_author,first_paper_determination_status,evidence_ledger_row_count,count_confidence,official_ecva_record_url,notes
c20ad4d76fe97759aa27a0c99bff6710,3136,Repurposing Geometric Foundation Models for Multi-view Diffusion,Wooseok Jang,Korea Advanced Institute of Science & Technology,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,cai_6zg8qo,resolved,https://woo1726.github.io/,"The official personal profile identifies Wooseok Jang as a KAIST CVLAB PhD student and lists the ECCV queue title, KAIST affiliation, collaborators, and prior research topics. This uniquely matches the ECCV candidate.",CVPR; ICCV; ECCV; NeurIPS; ICLR; ICML; SIGGRAPH; SIGGRAPH Asia; IROS; ICRA; RA-L,2026-03-05T23:00:00+01:00,"Main-conference full paper or RA-L journal article published on or before the cutoff; first-listed authorship only. Workshops, posters, demos, abstracts, and unverified identity matches are excluded.",0,0,,yes,confirmed_first,0,high,https://eccv.ecva.net/virtual/2026/poster/3136,"The official personal publication list was reviewed. Its ICLR 2024, ICCV 2023, and other listed top-tier works do not place Jang first; no eligible prior first-listed paper was found before the cutoff. The ECCV 2026 paper itself is after the cutoff."
9bf31c7ff062936a96d3c8bd1f8f2ff3,3137,Transferability Between Understanding and Generation in Unified Multimodal Models,Jiwon Kang,KAIST AI,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,cai_1re1s4r,resolved,https://loggerjk.github.io/,"Jiwon Kang's official personal site and KAIST CVLAB profile identify the same KAIST AI student (jiwon7258@kaist.ac.kr), with matching diffusion/3D/multimodal research and the ECCV 2026 title. The official CV lists the candidate's prior publications and author order.",CVPR; ICCV; ECCV; NeurIPS; ICLR; ICML; SIGGRAPH; SIGGRAPH Asia; IROS; ICRA; RA-L,2026-03-05T23:00:00+01:00,"Main-conference full paper or RA-L journal article published on or before the cutoff; first-listed authorship only. Workshops, posters, demos, abstracts, and unverified identity matches are excluded.",0,0,,yes,confirmed_first,0,partial,https://eccv.ecva.net/virtual/2026/poster/3137,No prior eligible first-listed paper was found in the reviewed publication list. NeurIPS 2025 'Where and How to Perturb' is eligible but Jiwon Kang is second-listed and marked equal contribution; ICLR 2026 and CVPR 2026 works are after the cutoff. ECCV 2026 is itself after the cutoff. QA removed non-qualifying evidence rows; count reflects first-listed eligible works only.
02e74f10e0327ad868d138f2b4fdd6f0,3139,TETO: Tracking Events with Teacher Observation for Motion Estimation and Frame Interpolation,Jini Yang,KAIST AI,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,cai_1018n5o,resolved,https://cvlab.kaist.ac.kr/members/students,"KAIST CVLab's official student directory identifies Jini Yang as a Ph.D. student with KAIST email and event-based vision/video diffusion interests. The official CVLab publication list identifies her as first author of the ECCV candidate TETO paper, matching the candidate name and KAIST affiliation.",CVPR; ICCV; ECCV; NeurIPS; ICLR; ICML; SIGGRAPH; SIGGRAPH Asia; IROS; ICRA; RA-L,2026-03-05T23:00:00+01:00,"Main-conference full paper or RA-L journal article published on or before the cutoff; first-listed authorship only. Workshops, posters, demos, abstracts, and unverified identity matches are excluded.",0,,,,identity_resolved_prior_work_review_incomplete,0,partial,https://eccv.ecva.net/virtual/2026/poster/3139,"No eligible prior first-listed paper was found in the reviewed official CVLab publication material. SpikeMatch is listed without an eligible in-scope venue, and later ECCV 2026 work is after the cutoff; exact zero is not asserted because exhaustive all-venue review remains incomplete."
182be0c5cdcd5072bb1864cdee4d3d6e,3141,"Blind to Position, Biased in Language: Probing Mid-Layer Representational Bias in Vision-Language Encoders for Zero-Shot Language-Grounded Spatial Understanding",Na Min An,KAIST AI,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,cai_gp25hv,resolved,https://namin-an.github.io/assets/pdf/CV_NaMinAn.pdf,"Official personal CV identifies Na Min An (preferred first name Namin) as a KAIST AI Ph.D. student advised by Hyunjung Shim and lists the exact ECCV 2026 queue title as first-listed author, matching the KAIST AI affiliation and multimodal-bias topic.",CVPR; ICCV; ECCV; NeurIPS; ICLR; ICML; SIGGRAPH; SIGGRAPH Asia; IROS; ICRA; RA-L,2026-03-05T23:00:00+01:00,"Main-conference full paper or RA-L journal article published on or before the cutoff; first-listed authorship only. Workshops, posters, demos, abstracts, and unverified identity matches are excluded.",0,0,,yes,confirmed_first,0,high,https://eccv.ecva.net/virtual/2026/poster/3141,"The official CV publication list was reviewed against the defined venues and cutoff. Earlier listed works are EMNLP, ACL, EACL, COLM, IJCNN, and non-scope journals. CVPR 2026, COLM 2026, and ECCV 2026 are after the 2026-03-05 cutoff. Exact eligible prior first-listed count is zero."
735b90b4568125ed6c3f678819b6e058,3148,TaskTok: Delving into Task Tokens for Task-driven Image Restoration,Hongjae Lee,Korea University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,cai_1ojjouf,resolved,https://sites.google.com/view/hongjae/home,Hongjae Lee's official Korea University personal page identifies him as an integrated MS-PhD student in Electrical Engineering and lists both ECCV 2026 target papers. The official CVF ICCV 2025 record independently lists the same Hongjae Lee first with a Korea University affiliation.,CVPR; ICCV; ECCV; NeurIPS; ICLR; ICML; SIGGRAPH; SIGGRAPH Asia; IROS; ICRA; RA-L,2026-03-05T23:00:00+01:00,"Main-conference full paper or RA-L journal article published on or before the cutoff; first-listed authorship only. Workshops, posters, demos, abstracts, and unverified identity matches are excluded.",1,,,no,confirmed_not_first,1,medium,https://eccv.ecva.net/virtual/2026/poster/3148,One verified eligible first-listed prior (ICCV 2025) establishes a positive prior count. An exhaustive exact count was not asserted because no complete CV was located.
93db85ed909c13838ff95ccfa94cebd9,3151,LogicIR: Logic Gate Networks for Image Restoration,Hongjae Lee,Korea University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,cai_1ojjouf,resolved,https://sites.google.com/view/hongjae/home,Hongjae Lee's official Korea University personal page identifies him as an integrated MS-PhD student in Electrical Engineering and lists both ECCV 2026 target papers. The official CVF ICCV 2025 record independently lists the same Hongjae Lee first with a Korea University affiliation.,CVPR; ICCV; ECCV; NeurIPS; ICLR; ICML; SIGGRAPH; SIGGRAPH Asia; IROS; ICRA; RA-L,2026-03-05T23:00:00+01:00,"Main-conference full paper or RA-L journal article published on or before the cutoff; first-listed authorship only. Workshops, posters, demos, abstracts, and unverified identity matches are excluded.",1,,,no,confirmed_not_first,1,medium,https://eccv.ecva.net/virtual/2026/poster/3151,One verified eligible first-listed prior (ICCV 2025) establishes a positive prior count. An exhaustive exact count was not asserted because no complete CV was located.
202cb962ac59075b964b07152d234b70,3154,Learning from Adversity: Semantic-Aware Mask Refinement through Adversarial Perturbation,Beom Young Kim,NAVER Cloud,KOREAN_COMPANY,cai_b8qb30,resolved,https://beomyoung-kim.github.io/,Official personal site identifies Beomyoung Kim as an Applied Scientist at NAVER Cloud (Image Vision) and KAIST PhD student; its publication/CV material matches the ECCV 2026 title and NAVER/KAIST affiliation. NAVER's official publication list also links the same author's CVPR work.,CVPR; ICCV; ECCV; NeurIPS; ICLR; ICML; SIGGRAPH; SIGGRAPH Asia; IROS; ICRA; RA-L,2026-03-05T23:00:00+01:00,"Main-conference full paper or RA-L journal article published on or before the cutoff; first-listed authorship only. Workshops, posters, demos, abstracts, and unverified identity matches are excluded.",3,,,no,confirmed_not_first,3,partial,https://eccv.ecva.net/virtual/2026/poster/3154,"At least three eligible prior first-listed main-conference papers were verified. Review was not exhaustive across all listed venues, so no exact count is asserted. ECCV 2026 paper is after the cutoff and is not counted."
903ce9225fca3e988c2af215d4e544d3,3157,What You Ask is What You Ground: Bridging Question Intent to Temporal Evidence for Grounded VideoQA,Jinhwan Seo,KAIST,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,cai_1of1kd,resolved,https://jinhseo.github.io/,Official personal page identifies Jinhwan Seo as a KAIST School of Computing PhD student advised by Sung-eui Yoon and lists the ECCV 2022 Object Discovery paper and ECCV 2026 GroundFormer paper. This matches the KAIST ECCV candidate affiliation and video-understanding topic.,CVPR; ICCV; ECCV; NeurIPS; ICLR; ICML; SIGGRAPH; SIGGRAPH Asia; IROS; ICRA; RA-L,2026-03-05T23:00:00+01:00,"Main-conference full paper or RA-L journal article published on or before the cutoff; first-listed authorship only. Workshops, posters, demos, abstracts, and unverified identity matches are excluded.",1,,,no,confirmed_not_first,1,partial,https://eccv.ecva.net/virtual/2026/poster/3157,"One verified eligible prior first-listed ECCV 2022 paper establishes that Jinhwan Seo is not first-time in the defined scope. The official page labels its list selected rather than exhaustive, so the full prior count is not asserted."
577ef1154f3240ad5b9b413aa7346a1e,3180,Real-Time LiDAR Gaussian Splatting SLAM via Geometry-Aware Covariance Coupling,SeungJun Tak,Sungkyunkwan University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,cai_mphq7f,resolved,https://sites.google.com/view/taks-personal-page/,"SeungJun Tak's official personal page identifies him as a combined MS-PhD student in Sungkyunkwan University's Intelligent Robotics department, gives a g.skku.edu email, and matches the ECCV candidate's LiDAR/SLAM research. The SKKU lab publication page lists the matching ECCV 2026 paper as his first-author work.",CVPR; ICCV; ECCV; NeurIPS; ICLR; ICML; SIGGRAPH; SIGGRAPH Asia; IROS; ICRA; RA-L,2026-03-05T23:00:00+01:00,"Main-conference full paper or RA-L journal article published on or before the cutoff; first-listed authorship only. Workshops, posters, demos, abstracts, and unverified identity matches are excluded.",0,,,,identity_resolved_prior_work_review_incomplete,0,partial,https://eccv.ecva.net/virtual/2026/poster/3180,No pre-cutoff eligible first-author paper was verified in the official personal page or SKKU lab publication record. The matching ECCV 2026 paper is after cutoff and is not counted; exact zero remains uncertified.
3cec07e9ba5f5bb252d13f5f431e4bbb,3183,Multi-THuMBS: Multi-person Tracking of 3D Human Meshes Beyond Video Shots,Jeongwan On,UNIST,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,cai_16kt7l8,resolved,https://on-jungwoan.github.io/,"Jeongwan On's official personal site identifies him as a UNIST AIGS/UNIST Vision and Learning Lab student, with research in 3D human mesh reconstruction; it lists the ECCV 2026 Multi-THuMBS paper and the prior CVPR 2025 BIGS paper. This matches the queue name, UNIST affiliation, and ECCV title.",CVPR; ICCV; ECCV; NeurIPS; ICLR; ICML; SIGGRAPH; SIGGRAPH Asia; IROS; ICRA; RA-L,2026-03-05T23:00:00+01:00,"Main-conference full paper or RA-L journal article published on or before the cutoff; first-listed authorship only. Workshops, posters, demos, abstracts, and unverified identity matches are excluded.",1,,,no,confirmed_not_first,1,partial,https://eccv.ecva.net/virtual/2026/poster/3183,"A prior eligible first-listed CVPR paper is verified, establishing a non-zero prior count. Exact all-venue count was not exhaustively established; ECCV 2026 is after the cutoff and excluded."
